ptPair,baseRt,nTrials,start,stop,oldTime
#1,467.7052401746725,916,#,1,NA
#2,443.90185950413223,968,#,2,NA
#3,461.7502824858757,885,#,3,NA
#4,437.23370110330995,997,#,4,NA
#5,411.2144955925563,1021,#,5,NA
#6,436.7869822485207,1014,#,6,NA
#7,441.6221294363257,958,#,7,NA
#8,420.0042872454448,933,#,8,NA
#9,443.4499484004128,969,#,9,NA
12,463.510582010582,378,1,2,519
13,468.3008595988539,349,1,3,573
14,453.07163323782237,349,1,4,495
15,414.66964285714283,336,1,5,482
16,428.54571428571427,350,1,6,509
17,447.4725609756098,328,1,7,521
18,414.75,360,1,8,497
19,431.4313725490196,357,1,9,543
21,479.18926553672316,354,2,1,569
23,484.5189189189189,370,2,3,553
24,436.2139037433155,374,2,4,513
25,417.78316326530614,392,2,5,474
26,442.13829787234044,376,2,6,511
27,420.468085106383,376,2,7,523
28,406.15384615384613,325,2,8,491
29,431.60845070422533,355,2,9,509
31,479.51671732522794,329,3,1,558
32,464.9887323943662,355,3,2,519
34,450.8508287292818,362,3,4,513
35,419.27371273712737,369,3,5,472
36,440.3089430894309,369,3,6,488
37,444.2721893491124,338,3,7,544
38,397.710182767624,383,3,8,493
39,428.06166219839145,373,3,9,512
41,486.12721893491124,338,4,1,551
42,449.20749279538904,347,4,2,517
43,457.6759259259259,324,4,3,560
45,417.6604774535809,377,4,5,464
46,428.52908587257616,361,4,6,509
47,458.55627009646304,311,4,7,522
48,421.2456140350877,342,4,8,482
49,431.0106100795756,377,4,9,546
51,480.46268656716416,335,5,1,549
52,455.510582010582,378,5,2,504
53,459.8764705882353,340,5,3,552
54,446.4391691394659,337,5,4,501
56,425.6784810126582,395,5,6,483
57,445.64220183486236,327,5,7,535
58,412.77150537634407,372,5,8,479
59,433.23796033994336,353,5,9,527
61,483.0144927536232,345,6,1,567
62,463.4274193548387,372,6,2,515
63,479.9014492753623,345,6,3,546
64,449.4909560723514,387,6,4,507
65,419.6951219512195,328,6,5,484
67,447.3053221288515,357,6,7,533
68,406.86760563380284,355,6,8,483
69,425.15555555555557,360,6,9,511
71,467.44827586206895,319,7,1,555
72,438.6640419947507,381,7,2,504
73,439.991452991453,351,7,3,558
74,445.0306406685237,359,7,4,475
75,407.68817204301075,372,7,5,463
76,416.28402366863907,338,7,6,516
78,431.8195266272189,338,7,8,484
79,439.12151898734174,395,7,9,541
81,455.9418604651163,344,8,1,554
82,433.59897172236504,389,8,2,512
83,445.28333333333336,360,8,3,540
84,432.35537190082647,363,8,4,485
85,402.8023598820059,339,8,5,448
86,413.4306784660767,339,8,6,472
87,452.31151832460733,382,8,7,512
89,445.86494252873564,348,8,9,507
91,460.7069892473118,372,9,1,546
92,438.3233082706767,399,9,2,512
93,460.95,360,9,3,540
94,429.1930294906166,373,9,4,514
95,400.7613941018767,373,9,5,460
96,425.70454545454544,352,9,6,464
97,439.3612565445026,382,9,7,550
98,423.12271540469976,383,9,8,485
